1,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_001,GEFJ1.31713.P_ACT,GE02#风机有功功率
2,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_003,GEFJ1.31713.PF,GE02#风机性能因素
3,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_004,GEFJ1.31713.Q,GE02#风机无功
4,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_005,GEFJ1.31713.U_A_N,GE02#风机A相电压
5,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_006,GEFJ1.31713.U_B_N,GE02#风机B相电压
6,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_007,GEFJ1.31713.U_C_N,GE02#风机C相电压
7,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_008,GEFJ1.31713.I_A,GE02#风机A相电流
8,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_009,GEFJ1.31713.I_B,GE02#风机B相电流
9,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_010,GEFJ1.31713.I_C,GE02#风机C相电流
10,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_011,GEFJ1.31713.N_GEN_CCU,GE02#风机发电机转速
11,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_012,GEFJ1.31713.N_ROT_PLC,GE02#风机叶轮转速
12,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_013,GEFJ1.31713.BL1_ACT,GE02#风机桨距角度1
13,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_014,GEFJ1.31713.V_WIN,GE02#风机风速
14,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_017,GEFJ1.31713.N_GEN_PLC,GE02#风机发电机PLC转速
15,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_019,GEFJ1.31713.BL2_ACT,GE02#风机桨距角度2
16,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_020,GEFJ1.31713.BL3_ACT,GE02#风机桨距角度3
17,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_021,GEFJ1.31713.BL1_SET_V,GE02#风机桨距设定角度
18,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_032,GEFJ1.31713.T_GEN_1,GE02#风机发电机1温度
19,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_033,GEFJ1.31713.T_GEN_2,GE02#风机发电机2温度
20,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_034,GEFJ1.31713.T_BEAR_A,GE02#风机轴承A温度
21,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_035,GEFJ1.31713.T_BEAR_B,GE02#风机轴承B温度
22,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_036,GEFJ1.31713.T_GEAR,GE02#风机齿轮箱温度
23,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_037,GEFJ1.31713.T_AMB,GE02#风机环境温度
24,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_038,GEFJ1.31713.T_NAC,GE02#风机机舱温度
25,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_040,GEFJ1.31713.T_GEAR_BEAR,GE02#风机齿轮箱轴承温度
26,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_056,GEFJ1.31713.HYD_PRES,GE02#风机液压
27,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_061,GEFJ1.31713.T_MAIN_BOX,GE02#风机主控柜温度
28,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_062,GEFJ1.31713.T_TOP_BOX,GE02#风机顶部控制柜温度
29,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_063,GEFJ1.31713.T_CTRL_BOX,GE02#风机轮毂控制柜温度
30,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_064,GEFJ1.31713.T_CTRL_BOX1,GE02#风机轮毂轴承1控制柜温度
31,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_065,GEFJ1.31713.T_BAT_BOX1,GE02#风机电池柜1温度
32,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_066,GEFJ1.31713.T_CTRL_BOX2,GE02#风机轮毂轴承2控制柜温度
33,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_067,GEFJ1.31713.T_BAT_BOX2,GE02#风机电池柜2温度
34,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_068,GEFJ1.31713.T_CTRL_BOX3,GE02#风机轮毂轴承3控制柜温度
35,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_070,GEFJ1.31713.T_BAT_BOX3,GE02#风机电池柜3温度
36,\\172.16.10.2\c$\VisuPro\156006002\SecAna.db,CHAN_072,GEFJ1.31713.T_HUB,GE02#风机轮毂温度
37,\\172.16.10.2\c$\VisuPro\156006002\StatDat.db,PROD,GEFJ1.31713.PROD,GE02#风机发电量
38,\\172.16.10.2\c$\VisuPro\156006002\StatDat.db,OTT,GEFJ1.31713.OTT,GE02#风机并网发电时间
39,\\172.16.10.2\c$\VisuPro\156006002\ErrDev.db,StatusNumber,GEFJ1.31713.STATE,GE02#风机风机状态
